鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
萬華區,房地(土地+建物),臺北市萬華區環河南路二段１５號十六樓,8.32,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1101015,土地2建物1車位0,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,88.6,2,2,1,有,有,18000000,203160,,0.0,0,,RPRNMLSLIIGGFBA37DA,51.89,7.77,0.0,,
萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路二段１９號十六樓,8.55,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1101016,土地2建物1車位1,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,110.27,2,2,1,有,有,20000000,205358,坡道機械,19.94,1450000,,RPUNMLSLIIGGFBA67DA,53.71,7.08,0.0,,
大同區,房地(土地+建物)+車位,臺北市大同區五原路１９號八樓之１,5.48,都市：其他:第三種商業區。,,,1101003,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981216,79.28,2,1,1,有,有,14500000,229277,塔式車位,22.58,1500000,塔式車位車位位置:地下四層夾層；其他增建；,RPXNMLLLIIGGFBA27DA,33.5,4.57,0.0,,
萬華區,房地(土地+建物)+車位,臺北市萬華區長沙街二段６１號四樓,11.95,都市：其他:第四種商業區。,,,1100926,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010119,137.2,3,2,2,有,有,20500000,149417,塔式車位,15.83,0,車位位置:地下三層,RPWNMLSKIIGGFBA77DA,73.26,0.0,0.0,有,070
萬華區,房地(土地+建物),臺北市萬華區西園路一段１４４號十二樓,7.28,都市：其他:第三種商業區。,,,1100919,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790122,66.92,2,2,1,有,有,11500000,171847,,0.0,0,陽台外推；其他增建；,RPTPMLKLIIGGFBA96DA,45.9,11.65,0.0,有,071
文山區,房地(土地+建物),臺北市文山區辛亥路四段１２８之１０號七樓,13.65,都市：其他:交通用地(公共設施用地)。78/4/3,,,1101007,土地16建物1車位0,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1060602,68.93,1,1,1,有,有,12930000,187582,,0.0,0,,RPTOMLTJJIGGFAA57DA,37.43,8.33,0.0,,
文山區,房地(土地+建物)+車位,臺北市文山區羅斯福路六段１５０巷２５號六樓,23.84,都市：其他:第三種住宅區。,,,1101008,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061106,171.49,3,2,2,有,有,38500000,256003,坡道平面,32.82,3000000,,RPWPMLKKJIGGFAA17DA,76.56,10.92,0.0,有,075
文山區,房地(土地+建物)+車位,臺北市文山區光輝路２１巷１１號七樓,32.8,都市：其他:第三種住宅區。,,,1100725,土地1建物1車位2,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991005,246.59,4,2,2,有,有,37500000,206835,坡道平面,89.46,5000000,其他增建；,RPWQMLKKJIGGFAA27DA,121.98,16.39,0.0,有,076
萬華區,房地(土地+建物),臺北市萬華區西寧南路３０７號十樓之２,3.66,都市：其他:第四種商業區。,,,1100923,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050701,45.16,0,1,1,有,有,9140000,202391,,0.0,0,,RPPPMLTKIIGGFBA37DA,21.72,5.44,0.0,有,078
內湖區,房地(土地+建物)+車位,臺北市內湖區金龍路６７巷６號七樓,24.78,都市：其他:第三種住宅區。,,,1090516,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100806,153.44,3,2,2,有,無,29500000,208645,坡道機械,19.72,1600000,預售屋、或土地及建物分件登記案件；,RPQQMLTKIIGGFCA67DA,77.89,11.45,0.0,,
