鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
永和區,土地,民權段871地號,280.36,都市：其他:道路用地,,,1101022,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27953000,99704,,0.0,0,包含公共設施保留地用地；,RPSPMLLKJIGGFHF18EA,0.0,0.0,0.0,,
三峽區,房地(土地+建物),新北市三峽區大智路２１號二樓,13.95,都市：其他:住宅區,,,1101025,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950123,92.03,2,1,1,有,有,7800000,84755,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKJIGGFIF77EA,56.19,9.89,0.0,,
永和區,土地,雙和段947地號,142.93,都市：其他:道路用地,,,1100903,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14052000,98314,,0.0,0,包含公共設施保留地用地；,RPUQMLLKJIGGFHF48EA,0.0,0.0,0.0,,
中和區,房地(土地+建物),新北市中和區立人街３６號四樓,28.4,都市：其他:住宅區,,,1100930,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731121,92.15,3,2,2,有,無,10200000,110689,,0.0,0,陽台外推；,RPPNMLMKJIGGFHF77EA,81.28,10.87,0.0,,
鶯歌區,土地,橋子頭一段1166地號,609.18,,一般農業區,農牧用地,1101101,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4680550,7683,,0.0,0,,RPSNMLQKJIGGFIF58EA,0.0,0.0,0.0,無,0269
三峽區,房地(土地+建物),新北市三峽區二鬮路１３６巷２４弄７１號十樓之一,29.92,,山坡地保育區,丙種建築用地,1101012,土地3建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830927,65.45,2,1,1,有,有,2500000,38197,,0.0,0,,RPRNMLTJJIGGFIF68EA,49.28,6.26,0.0,,
中和區,房地(土地+建物),新北市中和區中正路２７１之３號二十一樓,4.91,都市：其他:住宅區,,,1101015,土地2建物1車位0,二十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,80.69999999999999,2,1,1,有,有,10800000,133829,,0.0,0,,RPQNMLMKJIGGFHF87EA,69.54,5.92,0.0,,
中和區,房地(土地+建物),新北市中和區景平路５９之１４號九樓之一,5.98,都市：其他:住宅區,,,1101018,土地1建物1車位0,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851030,87.7,3,2,2,有,有,13000000,148233,,0.0,0,陽台外推；其他增建；,RPRNMLMKJIGGFHF97EA,62.67,15.55,0.0,有,0270
中和區,房地(土地+建物),新北市中和區景平路９８９巷２號八樓之五,9.67,都市：其他:商業區,,,1101011,土地5建物1車位0,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840612,80.32,2,2,1,有,有,11300000,140687,,0.0,0,其他增建；,RPTNMLMKJIGGFHF18EA,48.13,8.8,0.0,有,0271
永和區,房地(土地+建物),新北市永和區民有街３號五樓之二,6.97,都市：其他:商業區,,,1101013,土地2建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860816,99.57000000000001,3,2,1,有,有,13400000,134579,,0.0,0,,RPROMLMKJIGGFHF08EA,59.56,30.73,0.0,有,0272
永和區,車位,新北市永和區環河東路一段１１８號四樓之三,1.95,都市：其他:住宅區,,,1101103,土地1建物1車位1,四層,十四層,其他,住家用,鋼筋混凝土造,0880708,17.759999999999998,0,0,0,有,有,950000,,坡道機械,17.76,950000,僅車位交易；,RPSOMLMKJIGGFHF18EA,0.0,0.0,0.0,有,0273
永和區,房地(土地+建物),新北市永和區中山路一段３８號三樓之一,4.2,都市：其他:商業區,,,1101024,土地2建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0990910,58.22,1,1,1,有,有,10750000,184644,,0.0,0,,RPTOMLMKJIGGFHF28EA,35.06,4.91,0.0,有,0274
中和區,房地(土地+建物)+車位,新北市中和區立德街１１０號四樓,47.67,都市：其他:乙種工業區,,,1101015,土地1建物1車位2,四層,七層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0860913,284.84,0,0,0,無,有,23040000,80888,坡道平面,0.0,0,含租約；,RPURMLMKJIGGFHF68EA,165.79,0.0,0.0,有,0275
中和區,房地(土地+建物),新北市中和區中山路三段１７０巷４弄２３號,73.52,都市：其他:乙種工業區,,,1101008,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0610228,89.12,3,1,2,有,無,10000000,112208,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLPKJIGGFHF88EA,89.12,0.0,0.0,,
樹林區,房地(土地+建物)+車位,新北市樹林區中華路４３之１號,6.91,都市：其他:第一種住宅區,,,1101020,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1100308,78.35,0,0,1,有,有,11000000,248985,升降平面,41.4,1800000,,RPQNMLLKJIGGFIF87EA,26.24,0.0,0.0,,
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區高職西街１１２之１號七樓,29.28,都市：其他:第一種住宅區,,,1101030,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050810,157.07,3,1,2,有,有,10080000,64175,坡道平面,26.32,0,,RPQPMLLKJIGGFIF08EA,78.31,11.78,0.0,有,0276
樹林區,房地(土地+建物),新北市樹林區復興路４９７巷１４號,24.31,都市：其他:第一種住宅區,,,1101013,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,,49.72,4,3,2,有,無,2000000,40225,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLMKJIGGFIF18EA,49.72,0.0,0.0,,
樹林區,房地(土地+建物),新北市樹林區保安街二段３３７巷８弄１號二樓,22.95,都市：其他:住宅區,,,1101012,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741121,94.05,3,2,1,有,無,5700000,60606,,0.0,0,,RPOPMLMKJIGGFIF97EA,87.0,7.05,0.0,,
三峽區,土地,民族段229地號,30.93,都市：其他:住宅區,,,1101012,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3862229,124870,,0.0,0,政府機關標讓售；,RPRPMLMKJIGGFIF28EA,0.0,0.0,0.0,,
鶯歌區,房地(土地+建物),新北市鶯歌區永吉街１１巷８號,100.16,都市：其他:住宅區,,,1101022,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,105.7,3,2,2,有,無,8000000,75686,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTQMLMKJIGGFIF58EA,105.7,0.0,0.0,,
三峽區,土地,麻園段522地號,340.12,,一般農業區,農牧用地,1101002,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3333400,9801,,0.0,0,,RPVQMLMKJIGGFIF78EA,0.0,0.0,0.0,,
永和區,土地,安樂段595地號,584.25,都市：其他:道路用地,,,1100810,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,53000000,90715,,0.0,0,包含公共設施保留地用地；,RPTQMLLKJIGGFHF38EA,0.0,0.0,0.0,無,0277
中和區,土地,員山段616地號,4.32,都市：其他:住宅區,,,1101021,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,929060,215060,,0.0,0,僅土地政府機關標讓售；,RPPNMLSJJIGGFHF28EA,0.0,0.0,0.0,無,0278
三重區,土地,五谷王段25地號,300.75,都市：其他:住宅區,,,1100819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60000000,199501,,0.0,0,,RPRNMLKKJIGGFGF67EA,0.0,0.0,0.0,,
蘆洲區,房地(土地+建物),新北市蘆洲區長安街１０２巷４號三樓,29.22,都市：其他:住宅區,,,1101009,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771128,97.62,3,2,2,有,無,9850000,100901,,0.0,0,陽台外推；,RPSPMLMKJIGGFGF18EA,88.43,9.19,0.0,無,0279
三重區,房地(土地+建物),新北市三重區三和路一段８５號九樓,7.74,都市：其他:住宅區,,,1101013,土地2建物1車位0,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040521,101.82000000000001,3,1,2,有,有,15280000,150069,,0.0,0,,RPPNMLMKJIGGFGF67EA,60.45,8.28,0.0,有,0280
三重區,房地(土地+建物),新北市三重區力行路二段７８號四樓,24.6,都市：其他:住宅區,,,1100824,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691030,88.0,4,2,2,有,無,7600000,86364,,0.0,0,,RPQNMLMKJIGGFGF77EA,88.0,0.0,0.0,,
三重區,房地(土地+建物),新北市三重區大同北路１６７巷２８號二樓,22.3,都市：其他:住宅區,,,1100827,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671013,85.0,3,0,3,有,無,9000000,105882,,0.0,0,陽台外推；其他增建；,RPSNMLMKJIGGFGF97EA,85.0,0.0,0.0,,
三重區,土地,長壽段401地號,58.08,都市：其他:住宅區,,,1101022,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12000000,206612,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPOOMLMKJIGGFGF67EA,0.0,0.0,0.0,,
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區三民路３６２號二樓之二,31.54,都市：其他:捷運系統用地,,,1100910,土地1建物1車位2,二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040409,287.14,4,2,2,有,有,36330000,126524,坡道平面,46.78,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLMKJIGGFGF77EA,150.17,25.41,0.0,,
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區三民路３６２號十四樓,19.86,都市：其他:捷運系統用地,,,1100804,土地1建物1車位2,十四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040409,178.69,0,0,0,無,有,22000000,123118,坡道平面,46.78,0,,RPQOMLMKJIGGFGF87EA,81.09,15.08,0.0,,
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區三民路３６２號十六樓之三,31.25,都市：其他:捷運系統用地,,,1100908,土地1建物1車位2,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040409,283.9,4,2,2,有,有,31950000,112540,坡道平面,46.78,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLMKJIGGFGF97EA,149.0,24.15,0.0,,
蘆洲區,房地(土地+建物),新北市蘆洲區復興路８７巷５號四樓,33.29,都市：其他:住宅區,,,1101016,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700214,96.0,3,2,2,有,無,7700000,80208,,0.0,0,其他增建；,RPSOMLMKJIGGFGF08EA,96.0,0.0,0.0,,
